model,cutoff,accept_rate,profit_per_1000
scorecard,0.21000000000000002,0.918092330739932,712861.9197176232
xgboost,0.24000000000000002,0.908743366333835,728265.7332188563
lightgbm,0.25,0.9193819649078177,728823.0398973946
mlp,0.24000000000000002,0.9607067901888873,715090.1911838489
