model,auc_diff_vs_scorecard,delong_p,ci_lo,ci_hi
xgboost,0.023852892423726346,2.2296216166541277e-169,0.022178097258533657,0.025523138445485268
lightgbm,0.0225017286158129,1.0148226719584244e-156,0.020812465508868637,0.024170764675410794
mlp,0.0078469922532175,5.3468606611056245e-17,0.006039600435258125,0.009800229425774952
