model,auc_diff_vs_scorecard,delong_p,ci_lo,ci_hi
xgboost,0.028020156596872292,2.2226712903782527e-176,0.026029966757634825,0.03002095168590224
lightgbm,0.02692818027728827,2.741885591196526e-214,0.02520911051217219,0.02861552162629142
mlp,-0.010940808344939046,2.5224055531722986e-21,-0.013034055697306035,-0.008657053831661524
