model,auc_diff_vs_platform,delong_p
xgboost,0.006870800930920518,3.630008805341823e-18
lightgbm,0.0055769107147776165,2.5532314919357824e-13
scorecard,-0.001653220757945717,0.026074924465717072
mlp,-0.003345679462818052,7.149986252185766e-05
