model,auc_diff_vs_scorecard,delong_p,auc_diff_ci_lo,auc_diff_ci_hi,brier_iso_diff_ci_lo,brier_iso_diff_ci_hi
xgboost,0.008524021688866235,1.6301455822915876e-55,0.007499554022122662,0.009614347097304493,-0.0007119184613215851,-0.000525001906256662
lightgbm,0.0072301314727233335,8.276654998507884e-49,0.006243271735816713,0.008214786157303658,-0.0006023097687031167,-0.00042777955079963614
mlp,-0.001692458704872335,0.02394081881274529,-0.0031483921962772664,-0.0001703541422138494,1.8248546833563723e-05,0.00023971185433155557
